Player,Tm,Cmp%,TD%,Int%,Succ%,Y/A,AY/A,Y/C,Y/G,Sk%,Player-additional
Sam Howell,WAS,66.5,3.7,2.7,44.7,6.9,6.4,10.3,278.3,10.2,HoweSa00
C.J. Stroud,HOU,63.7,4.9,1.3,47.7,8.4,8.7,13.1,296.9,6.2,StroCJ00
Josh Allen,BUF,68.1,5.5,3.0,51.1,7.4,7.2,10.9,267.8,3.3,AlleJo02
Tua Tagovailoa,MIA,69.8,5.8,2.7,52.0,8.4,8.4,12.1,288.8,4.3,TagoTu00
Jared Goff,DET,67.9,4.4,2.0,51.8,7.6,7.6,11.2,279.5,4.7,GoffJa00
Dak Prescott,DAL,70.0,6.2,1.6,50.5,7.9,8.4,11.3,266.8,5.6,PresDa01
Patrick Mahomes,KAN,68.1,5.1,2.2,49.6,7.1,7.1,10.4,265.2,3.3,MahoPa00
Brock Purdy,SFO,70.2,6.2,2.0,54.9,9.4,9.8,13.4,261.0,6.4,PurdBr00
Justin Herbert,LAC,66.2,5.0,1.5,46.6,7.0,7.4,10.6,256.9,5.9,HerbJu00
Trevor Lawrence,JAX,67.3,3.2,1.9,48.6,7.4,7.2,11.0,249.6,6.3,LawrTr00
Jalen Hurts,PHI,67.6,5.0,2.8,45.5,7.5,7.3,11.1,245.2,7.5,HurtJa00
Lamar Jackson,BAL,68.3,3.9,1.5,47.9,7.8,7.9,11.5,218.2,8.0,JackLa00
Jordan Love,GNB,60.5,5.1,2.7,43.9,7.0,6.8,11.6,236.3,5.6,LoveJo03
Baker Mayfield,TAM,64.7,4.5,1.8,44.1,6.8,6.9,10.5,235.3,6.4,MayfBa00
Geno Smith,SEA,65.4,3.3,2.2,47.2,7.2,6.8,10.9,234.9,7.0,SmitGe00
Derek Carr,NOR,65.6,2.7,1.3,44.9,6.8,6.7,10.4,230.5,5.6,CarrDe02
Matthew Stafford,LAR,60.8,3.8,2.6,46.1,7.3,6.9,12.0,248.9,5.5,StafMa00
Joshua Dobbs,MIN,64.0,3.3,2.5,42.5,6.1,5.6,9.5,200.1,6.0,DobbJo00
Russell Wilson,DEN,68.3,6.3,1.3,43.2,6.9,7.6,10.1,199.9,9.4,WilsRu00
Mac Jones,NWE,64.9,2.9,3.5,43.3,6.1,5.2,9.5,192.7,6.0,JoneMa05
Kenny Pickett,PIT,61.8,1.9,1.3,40.1,6.4,6.2,10.3,181.8,6.8,PickKe00
Gardner Minshew II,IND,63.0,2.7,2.4,40.4,6.6,6.1,10.5,179.3,5.4,MinsGa00
Desmond Ridder,ATL,65.2,2.6,3.0,44.9,7.1,6.3,11.0,190.8,8.6,RiddDe00
Bryce Young,CAR,61.7,2.6,2.3,36.4,5.4,4.8,8.7,187.7,10.3,YounBr01
Justin Fields,CHI,64.4,5.4,2.7,40.6,7.1,7.0,11.1,198.4,11.6,FielJu00
Aidan O'Connell,LVR,63.5,2.2,3.4,43.5,6.7,5.6,10.6,199.0,6.8,OConAi00
Will Levis,TEN,59.9,3.9,1.3,36.4,6.9,7.1,11.5,208.4,7.9,LeviWi00
Kyler Murray,ARI,61.7,1.9,1.9,41.4,6.7,6.3,10.9,239.7,7.8,MurrKy00
Tommy DeVito,NYG,62.9,6.7,2.9,33.1,6.6,6.7,10.6,139.4,21.1,DeViTo00
Dorian Thompson-Robinson,CLE,53.2,0.9,3.7,35.1,3.9,2.5,7.4,85.8,4.4,ThomDo02
Jake Browning,CIN,65.9,4.9,2.4,39.6,7.2,7.1,10.9,98.3,14.6,BrowJa08
Tim Boyle,NYJ,65.4,1.9,5.8,30.0,4.1,1.9,6.2,106.0,13.3,BoylTi00
