Player,Tm,Att,Yds,TD,Succ%,Y/A,Y/G,Fmb,-9999
Josh Jacobs,LVR,220,771,6,46.8,3.5,64.3,3,JacoJo01
Travis Etienne,JAX,194,726,7,43.8,3.7,66.0,0,EtieTr00
Christian McCaffrey,SFO,193,939,11,53.9,4.9,85.4,3,McCaCh01
Derrick Henry,TEN,176,739,6,48.3,4.2,67.2,0,HenrDe00
Saquon Barkley,NYG,165,697,1,38.8,4.2,77.4,1,BarkSa00
Joe Mixon,CIN,161,621,4,46.6,3.9,56.5,0,MixoJo00
D'Andre Swift,PHI,161,770,4,52.2,4.8,70.0,3,SwifDA00
Tony Pollard,DAL,160,669,4,48.1,4.2,60.8,3,PollTo00
Alexander Mattison,MIN,158,594,0,43.0,3.8,49.5,3,MattAl01
Isiah Pacheco,KAN,158,669,5,51.3,4.2,60.8,0,PachIs00
Rachaad White,TAM,156,559,4,38.5,3.6,50.8,1,WhitRa01
James Cook,BUF,153,731,1,54.9,4.8,60.9,2,CookJa01
Brian Robinson Jr.,WAS,153,611,5,45.1,4.0,50.9,3,RobiBr01
Raheem Mostert,MIA,151,785,13,53.6,5.2,71.4,4,MostRa00
Kenneth Walker III,SEA,149,613,6,46.3,4.1,61.3,0,WalkKe00
Rhamondre Stevenson,NWE,147,580,4,49.0,3.9,52.7,0,StevRh00
Jerome Ford,CLE,145,628,3,40.0,4.3,57.1,1,FordJe00
Najee Harris,PIT,143,598,4,44.8,4.2,54.4,1,HarrNa00
Gus Edwards,BAL,141,590,10,56.7,4.2,49.2,1,EdwaGu00
Zack Moss,IND,141,672,5,48.2,4.8,67.2,0,MossZa00
Bijan Robinson,ATL,141,703,3,45.4,5.0,63.9,2,RobiBi01
Javonte Williams,DEN,140,538,0,41.4,3.8,53.8,0,WillJa10
Tyler Allgeier,ATL,135,466,3,46.7,3.5,42.4,0,AllgTy00
David Montgomery,DET,133,648,9,57.1,4.9,81.0,2,MontDa01
AJ Dillon,GNB,131,448,1,49.6,3.4,40.7,0,DillAJ00
Breece Hall,NYJ,124,569,2,37.9,4.6,51.7,2,HallBr03
Devin Singletary,HOU,120,489,2,47.5,4.1,44.5,0,SingDe00
Alvin Kamara,NOR,119,457,2,48.7,3.8,57.1,0,KamaAl00
Chuba Hubbard,CAR,118,453,2,52.5,3.8,41.2,1,HubbCh01
Jalen Hurts,PHI,114,410,11,58.8,3.6,37.3,6,HurtJa00
Dameon Pierce,HOU,114,341,1,41.2,3.0,42.6,0,PierDa01
Kyren Williams,LAR,113,599,6,61.9,5.3,85.6,1,WillKy02
Austin Ekeler,LAC,112,428,4,42.9,3.8,53.5,3,EkelAu00
Lamar Jackson,BAL,112,574,5,52.7,5.1,47.8,11,JackLa00
Jahmyr Gibbs,DET,109,566,5,44.0,5.2,62.9,0,GibbJa01
James Conner,ARI,104,526,2,47.1,5.1,65.8,0,ConnJa00
Jonathan Taylor,IND,100,414,4,50.0,4.1,59.1,0,TaylJo02
Miles Sanders,CAR,97,302,1,40.2,3.1,30.2,2,SandMi01
Ezekiel Elliott,NWE,95,377,2,50.5,4.0,34.3,1,ElliEz00
Jaylen Warren,PIT,93,542,3,49.5,5.8,49.3,2,WarrJa01
D'Onta Foreman,CHI,92,381,4,56.5,4.1,54.4,1,ForeDO00
Kareem Hunt,CLE,89,286,6,47.2,3.2,31.8,0,HuntKa00
Joshua Kelley,LAC,88,360,2,44.3,4.1,32.7,0,KellJo01
Justin Fields,CHI,77,400,1,54.5,5.2,50.0,7,FielJu00
Khalil Herbert,CHI,73,331,0,46.6,4.5,47.3,1,HerbKh00
