Tm,Cmp%,TD%,Int%,Y/A,Y/C,Sk%
CLE,55.6,3.5,3.1,6.3,11.3,10.6
DAL,60.0,4.3,3.7,6.4,10.6,10.2
KAN,61.6,3.8,1.7,6.2,10.1,9.7
CAR,65.5,4.0,1.6,6.5,10.0,5.3
NYJ,63.4,3.7,3.5,6.3,9.9,7.5
BAL,60.5,2.2,2.5,5.5,9.0,9.5
NOR,58.9,3.9,3.9,6.3,10.8,4.8
GNB,64.4,3.4,1.4,6.8,10.5,6.8
ATL,62.9,4.7,1.7,6.8,10.8,5.7
MIA,68.3,4.2,2.4,6.9,10.0,9.1
SFO,66.6,2.6,3.6,6.2,9.3,7.3
LAR,61.8,2.9,1.3,6.9,11.1,6.3
BUF,67.1,4.1,2.8,6.9,10.2,9.5
NWE,66.3,3.4,1.6,6.9,10.4,6.0
IND,64.6,3.2,3.2,7.1,11.0,8.7
TEN,67.9,3.4,0.9,7.7,11.3,7.7
DET,63.0,5.1,2.1,7.2,11.4,5.8
SEA,65.7,3.5,2.0,6.8,10.3,7.3
DEN,68.5,5.2,2.7,7.5,10.9,5.9
PIT,59.3,3.3,3.1,7.1,12.0,7.6
LVR,68.8,3.8,2.5,7.0,10.2,6.6
ARI,70.2,5.6,2.4,7.7,10.9,7.9
MIN,70.0,3.5,2.1,6.9,9.8,7.0
NYG,62.8,3.4,3.0,7.1,11.4,4.9
CIN,63.7,3.6,3.3,8.1,12.7,7.2
HOU,68.9,2.9,2.1,7.7,11.2,5.9
JAX,64.8,4.3,2.7,7.1,11.0,5.5
PHI,64.5,5.0,1.3,6.6,10.3,6.6
CHI,68.4,5.3,3.0,6.9,10.0,3.8
TAM,66.7,4.0,2.2,7.8,11.7,7.1
LAC,67.2,4.0,1.4,7.9,11.8,7.9
WAS,63.6,6.6,1.4,7.9,12.4,7.6
